customer_id,brand,issue_type,expected_value,recommended_action,reason
CUST-00615,Voltix Home,failed_payment,155.0,Send payment update link; decline reason: expired_card.,1 retries / 9 days past due
CUST-01286,Voltix Home,late_fulfillment,147.97,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 4 promised
CUST-02400,Voltix Home,support_escalation,147.47,Add to customer-success callback queue.,4 support tickets in 90 days
CUST-00310,Voltix Home,late_fulfillment,146.97,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 3 promised
CUST-02517,Voltix Home,failed_payment,145.94,Send payment update link; decline reason: expired_card.,3 retries / 9 days past due
CUST-02267,Voltix Home,support_escalation,144.15,Add to customer-success callback queue.,5 support tickets in 90 days
CUST-00553,Voltix Home,late_fulfillment,144.03,Prioritize shipment follow-up before next renewal.,Delivered in 4 days vs 2 promised
CUST-01922,Northstar Apparel,late_fulfillment + discount_margin_leak,144.02,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 3 promised | 55% discount with 49% churn risk
CUST-01101,Voltix Home,late_fulfillment,142.39,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 3 promised
CUST-02553,VitalEdge Wellness,late_fulfillment + discount_margin_leak,142.38,Prioritize shipment follow-up before next renewal.,Delivered in 7 days vs 2 promised | 36% discount with 43% churn risk
CUST-01130,Voltix Home,discount_margin_leak,141.74,Move from blanket discount to targeted retention offer.,41% discount with 44% churn risk
CUST-00064,Voltix Home,discount_margin_leak,140.98,Move from blanket discount to targeted retention offer.,55% discount with 33% churn risk
CUST-00407,Northstar Apparel,late_fulfillment,140.95,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 4 promised
CUST-01399,Voltix Home,late_fulfillment,139.12,Prioritize shipment follow-up before next renewal.,Delivered in 7 days vs 5 promised
